Project_ID,Total_Recommendations,Avg_Similarity,Max_Similarity,Same_Location_Count
P301,5,0.6471,0.7245,0
P302,5,0.5475,0.5944,2
P303,5,0.5458,0.669,1
P304,5,0.4899,0.5695,2
P305,5,0.5892,0.682,1
P306,5,0.5906,0.8026,3
P307,5,0.7328,0.8885,2
P308,5,0.699,0.7664,3
P309,5,0.5618,0.6441,1
P310,5,0.5909,0.7307,2
P311,5,0.4678,0.5922,3
P312,5,0.5907,0.6135,2
P313,5,0.7519,0.7975,1
P314,5,0.5695,0.613,2
P315,5,0.552,0.5695,3
P316,5,0.5628,0.6218,1
P317,5,0.5932,0.6854,0
P318,5,0.6168,0.6674,1
P319,5,0.5596,0.6468,0
P320,5,0.6281,0.6597,2
P321,5,0.558,0.6026,2
P322,5,0.593,0.6573,1
P323,5,0.481,0.5428,2
P324,5,0.5519,0.5643,0
P325,5,0.6258,0.6728,0
P326,5,0.5121,0.627,2
P327,5,0.5772,0.7735,1
P328,5,0.5189,0.5962,1
P329,5,0.5166,0.6271,1
P330,5,0.7267,0.7745,1
P331,5,0.5941,0.6606,1
P332,5,0.4679,0.6846,1
P333,5,0.5845,0.6511,2
P334,5,0.5656,0.648,0
P335,5,0.5945,0.7023,2
P336,5,0.7146,0.7436,2
P337,5,0.5938,0.7159,2
P338,5,0.4313,0.4788,2
P339,5,0.6919,0.8742,1
P340,5,0.5614,0.6382,2
P341,5,0.6567,0.6832,1
P342,5,0.6302,0.6759,2
P343,5,0.549,0.641,0
P344,5,0.6753,0.788,1
P345,5,0.5296,0.5789,1
P346,5,0.5037,0.5185,2
P347,5,0.6293,0.6999,2
P348,5,0.5248,0.6148,1
P349,5,0.5979,0.7423,0
P350,5,0.5395,0.6668,0
P351,5,0.4987,0.612,0
P352,5,0.5719,0.6784,0
P353,5,0.5762,0.609,2
P354,5,0.5065,0.5561,0
P355,5,0.6155,0.7009,1
P356,5,0.6188,0.6929,1
P357,5,0.6685,0.7621,1
P358,5,0.4818,0.5082,1
P359,5,0.5875,0.7277,0
P360,5,0.5591,0.6342,1
P361,5,0.548,0.6382,1
P362,5,0.5942,0.719,0
P363,5,0.5825,0.7151,0
P364,5,0.6646,0.7696,1
P365,5,0.6535,0.6913,1
P366,5,0.5357,0.6701,0
P367,5,0.4714,0.5996,0
P368,5,0.551,0.6625,1
P369,5,0.5976,0.6664,1
P370,5,0.3897,0.514,1
P371,5,0.5455,0.6586,2
P372,5,0.5374,0.5758,3
P373,5,0.4809,0.5904,1
P374,5,0.5704,0.6246,1
P375,5,0.5907,0.6464,0
P376,5,0.4899,0.6792,0
P377,5,0.7155,0.8341,4
P378,5,0.5231,0.5908,3
P379,5,0.4953,0.5403,1
P380,5,0.4068,0.5118,1
P381,5,0.5537,0.6096,0
P382,5,0.6143,0.6446,4
P383,5,0.3244,0.4964,2
P384,5,0.4501,0.573,1
P385,5,0.61,0.6717,2
P386,5,0.4845,0.5508,2
P387,5,0.6381,0.672,1
P388,5,0.4675,0.5085,2
P389,5,0.6998,0.7187,3
P390,5,0.6368,0.6848,2
P391,5,0.5165,0.5622,2
P392,5,0.5411,0.6351,4
P393,5,0.7259,0.7563,2
P394,5,0.5209,0.5552,2
P395,5,0.5504,0.5708,1
P396,5,0.5621,0.5914,0
P397,5,0.5528,0.5704,2
P398,5,0.5423,0.6271,0
P399,5,0.6486,0.7639,0
P400,5,0.6198,0.6973,1
